category,subcategory,brand,product_line_or_model,evidence_type,evidence_url,key_spec_trends,notes,capture_date
Toilets,Close Coupled,Caroma,"Luna Cleanflush Close Coupled Toilet Suite (P-Trap BI, 844720W)",Manufacturer specify portal – product page,https://specify.caroma.com/au/product/caroma-luna-cleanflush-close-coupled-toilet-suite-p-trap-bi-white-79734/,"WELS 4-Star (4.5L/3L; 3.5L avg flush); Cleanflush rimless technology; vitreous china; P-Trap; bottom inlet; pan height 395mm; projection 670mm; soft-close seat with quick-release; UniOrbital connector (50mm radius); load-tested 800kg","Luna range available on Specify portal with P-Trap/S-Trap and BI/BE variants. Specifications listed on product page.",2026-02-09
Toilets,Close Coupled,Caroma,"Luna Cleanflush Close Coupled Toilet Suite (S-Trap BI, 844710W)",Manufacturer specify portal – product page,https://specify.caroma.com/au/product/caroma-luna-cleanflush-close-coupled-toilet-suite-s-trap-bi-white-79733/,"WELS 4-Star (4.5L/3L); Cleanflush rimless; S-Trap; bottom inlet; vitreous china; soft-close seat","S-Trap variant of Luna range. Specifications listed on product page.",2026-02-09
Toilets,Wall Faced,Caroma,"Urbane II Cleanflush Invisi Series II Wall Faced Suite w/ GermGard (746280W)",Manufacturer specify portal – product page,https://specify.caroma.com/au/product/caroma-urbane-ii-cleanflush-invisi-series-ii-wall-faced-suite-with-germgard-white-106228/,"WELS 4-Star (4.5L/3L; 3.5L avg); Cleanflush rimless; GermGard antimicrobial seat; universal trap (S 60-120mm / P 185mm); wall-faced; concealed Invisi II cistern (induct/inwall/inceiling/undercounter); pan height 440mm (easy height); projection 570mm; AS1428.1 ambulant compliant; BIM files (RFA/SKP/DAE)","Urbane II range available on Specify portal with GermGard and coloured hinge-cap options. Product page confirms AS1428.1 ambulant compliance and BIM file availability.",2026-02-09
Toilets,Wall Hung,Caroma,"Contura II Cleanflush Wall Hung Invisi II Suite w/ GermGard (849001MW)",Manufacturer specify portal – product page,https://specify.caroma.com/au/product/caroma-contura-ii-cleanflush-wall-hung-invisi-series-ii-suite-germgard-matte-white-118619/,"Cleanflush rimless; wall-hung; concealed Invisi II cistern; GermGard; matte white finish option; BIM downloads","Contura II wall-hung configuration available on Specify portal. Specifications listed on product page.",2026-02-09
Toilets,Wall Faced,Caroma,"Luna Plus CleanFlush Wall Faced Close Coupled Suite (844830W)",Manufacturer specify portal – product page,https://specify.caroma.com/au/product/caroma-luna-plus-cleanflush-wall-faced-close-coupled-toilet-suite-white-112713/,"WELS 4-Star; wall-faced close coupled; Cleanflush rimless","Luna Plus wall-faced configuration available on Specify portal.",2026-02-09
Toilets,Wall Faced,Caroma,"Luna Square Cleanflush Wall Faced Toilet Suite (846410W)",Manufacturer specify portal – product page,https://specify.caroma.com/au/product/caroma-luna-square-cleanflush-wall-faced-toilet-suite-white-77950/,"WELS 4-Star; Cleanflush rimless; wall-faced; square pan design","Luna Square variant with square pan design available on Specify portal.",2026-02-09
Toilets,Back to Wall,Fienza,"Koko Tornado Flush Back-to-Wall Toilet Suite (K002)",Manufacturer website – product page,https://fienza.com.au/product/koko-tornado-flush-back-to-wall-toilet-suite-gloss-white/,"WELS 4-Star (4.4L/3L dual flush); Tornado rimless flush; back-to-wall; P-Trap (set-out 100-250mm) / S-Trap (set-out 60-200mm); soft-close quick-release UF seat; nano-glaze option; R&T or Geberit concealed cistern options; customisable accent flush buttons & hinge covers; spec sheet PDF & BIM available","Koko K002 available on Fienza website with spec sheet PDF and BIM downloads. Product page lists specifications above.",2026-02-09
Toilets,Back to Wall,Fienza,"Isabella Back-to-Wall Toilet Suite (K014)",Manufacturer website – product page,https://fienza.com.au/product/isabella-back-to-wall-toilet-suite-gloss-white/,"WELS 4-Star (4.5L/3L dual flush); rimless hygienic flush; back-to-wall; P-Trap / S-Trap; soft-close quick-release UF seat; nano-glaze option; short projection; spec sheet PDF available","Isabella K014 available on Fienza website with spec sheet PDF. Product page lists specifications above.",2026-02-09
Tapware,Basin Mixer,Caroma (Dorf),"Dorf Kip Basin Mixer – Lead Free (872881C6AF)",Manufacturer specify portal – product page,https://specify.caroma.com/au/product/kip-basin-mixer-lead-free-chrome-120486/?category=/brands/dorf/,"Lead-free (May 2026 compliance); WaterMark; Chrome finish; single-lever basin mixer","Dorf Kip lead-free basin mixer available on Specify portal. Product page confirms lead-free compliance and May 2026 WaterMark requirement.",2026-02-09
Tapware,Bath Shower Mixer,Caroma (Dorf),"Dorf Kip Bath/Shower Mixer (872882C)",Manufacturer specify portal – product page,https://specify.caroma.com/au/product/kip-bathshower-mixer-chrome-73037/?category=/brands/dorf/,"Chrome; single-lever; WaterMark certified; in-wall body kit (872883C) available","Kip bath/shower mixer available on Specify portal with in-wall body kit option.",2026-02-09
Tapware,Basin Mixer,Caroma (Dorf),"Dorf Villa Tower Basin Mixer – Lead Free (6902.045AF)",Manufacturer specify portal – product page,https://specify.caroma.com/au/product/villa-tower-basin-mixer-lead-free-chrome-120482/?category=/brands/dorf/,"Lead-free; Chrome; tower mixer design; WaterMark","Villa tower basin mixer available on Specify portal. Product page lists specifications above.",2026-02-09
Tapware,Sink Mixer,Caroma (Dorf),"Dorf Viridian Sink Mixer Black – Lead Free (811013B4AF)",Manufacturer specify portal – product page,https://specify.caroma.com/au/product/viridian-sink-mixer-black-lead-free-matte-black-124323/?category=/brands/dorf/,"Lead-free; Matte Black finish; WaterMark","Viridian sink mixer available on Specify portal in Matte Black finish.",2026-02-09
